"id","jahr_an_anno","plz_npa","verbund_communaute_comunita","anzahl_nombre_quantita","flag","geo_point_2d"
"1",2017,1005,"ZVV",2,3,"46.5228877019, 6.64403717807"
"2",2017,1007,"ZVV",2,3,"46.489313156, 6.60782510441"
"3",2017,1009,"ZVV",2,3,"46.4896031272, 6.65655341791"
"4",2017,1024,"ZVV",2,3,"46.5299794404, 6.5594898329"
"5",2017,1032,"ZVV",2,3,"46.5671309151, 6.60996199428"
"6",2017,1052,"ZVV",2,3,"46.5628827285, 6.64531616002"
"7",2017,1162,"ZVV",2,3,"46.4695741852, 6.47006619988"
"8",2017,1203,"ZVV",2,3,"46.2090912476, 6.12285874994"
"9",2017,1208,"ZVV",2,3,"46.1997499041, 6.16834510984"
"10",2017,1209,"ZVV",2,3,"46.2227098303, 6.12383018299"
"11",2017,1212,"ZVV",2,3,"46.1785617284, 6.12142785674"
"12",2017,1234,"ZVV",2,3,"46.1754152717, 6.15973368343"
"13",2017,1292,"ZVV",2,3,"46.2386978163, 6.15177362981"
"14",2017,1302,"ZVV",2,3,"46.5766885976, 6.53813146847"
"15",2017,1553,"ZVV",2,3,"46.7544499597, 6.93908420156"
"16",2017,1616,"ZVV",2,3,"46.5090397482, 6.8549781585"
"17",2017,1724,"ZVV",2,3,"46.7241726067, 7.18767704766"
"18",2017,1794,"ZVV",2,3,"46.915437829, 7.15318333692"
"19",2017,1934,"ZVV",2,3,"46.0517719274, 7.20747129276"
"20",2017,1964,"ZVV",2,3,"46.2225999991, 7.30387879915"
"21",2017,1996,"ZVV",2,3,"46.1820655738, 7.3266527766"
"22",2017,2540,"ZVV",2,3,"47.1985686767, 7.38854142145"
"23",2017,2553,"ZVV",2,3,"47.1536469924, 7.32289919663"
"24",2017,2576,"ZVV",2,3,"47.0454820519, 7.16239856145"
"25",2017,3012,"ZVV",2,3,"46.9621594997, 7.42718223007"
"26",2017,3014,"ZVV",2,3,"46.9648784558, 7.4604124534"
"27",2017,3072,"ZVV",2,3,"46.9577623599, 7.49475477586"
"28",2017,3313,"ZVV",2,3,"47.0985108192, 7.51259373043"
"29",2017,3400,"ZVV",2,3,"47.0574623799, 7.61936236649"
"30",2017,3510,"ZVV",2,3,"46.8825841922, 7.61884385385"
"31",2017,3612,"ZVV",2,3,"46.7838600963, 7.63454848602"
"32",2017,3658,"ZVV",2,3,"46.7052370052, 7.75397366875"
"33",2017,3778,"ZVV",2,3,"46.5213009897, 7.27237790465"
"34",2017,3818,"ZVV",2,3,"46.619878761, 8.05453517232"
"35",2017,4056,"ZVV",2,3,"47.5708404619, 7.57616231737"
"36",2017,4102,"ZVV",2,3,"47.5381006903, 7.56856161878"
"37",2017,4143,"ZVV",2,3,"47.4779604615, 7.6252683777"
"38",2017,4144,"ZVV",2,3,"47.4968453823, 7.62929597506"
"39",2017,4226,"ZVV",2,3,"47.407423408, 7.55217376797"
"40",2017,4303,"ZVV",2,3,"47.5378765798, 7.74379349476"
"41",2017,4312,"ZVV",2,3,"47.5209676628, 7.81056775921"
"42",2017,4315,"ZVV",2,3,"47.5257286285, 7.90095452638"
"43",2017,4334,"ZVV",2,3,"47.5535482807, 7.98636470984"
"44",2017,4434,"ZVV",2,3,"47.4272445126, 7.77594858138"
"45",2017,4463,"ZVV",2,3,"47.5061238445, 7.86708607174"
"46",2017,4564,"ZVV",2,3,"47.1593127673, 7.5739263205"
"47",2017,4573,"ZVV",2,3,"47.1737618994, 7.52872481929"
"48",2017,4628,"ZVV",2,3,"47.2714991019, 7.79922401343"
"49",2017,4657,"ZVV",2,3,"47.3487038286, 7.94638184355"
"50",2017,4852,"ZVV",2,3,"47.2996496641, 7.88469728061"
"51",2017,5028,"ZVV",2,3,"47.4867321006, 8.04447112311"
"52",2017,5040,"ZVV",2,3,"47.306721763, 8.05635610664"
"53",2017,5235,"ZVV",2,3,"47.50628151, 8.21376692286"
"54",2017,5242,"ZVV",2,3,"47.4335330367, 8.21321583868"
